key,population_den,area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
05033-020402-2,125.6,17.97,0.45,0.07,635,0.47,0,0.14,0.02,0.66,0.17,0.57,0.9,0.5,0.31,0.81,0.11,0.14,2001,0.57,0.06,0.07,0
05033-020402-3,35.1,17.43,0.51,0.82,228,0.34,0,0.27,0.05,0.22,0.13,0.26,0.79,0.45,0.2,0.75,0.24,0.03,1970,0.29,0.13,0,0
05033-020501-1,193.7,9.12,0.53,0.78,271,0.23,0,0.13,0.07,0.43,0.12,0.26,0.73,0.52,0.26,0.88,0.1,0.05,1987,0.57,0.34,0.04,0
05033-020501-2,750,1.78,0.53,0.19,345,0.3,0,0.17,0.01,0.82,0.09,0.41,0.9,0.59,0.31,0.77,0.13,0.03,1990,0.6,0.12,0.07,0
05033-020501-3,933.4,1.61,0.56,0.5,302,0.3,0,0.23,0.03,0.53,0.26,0.43,0.64,0.35,0.13,0.83,0.09,0.08,1988,0.51,0.45,0.02,0
05033-020502-1,328.1,1.49,0.31,1,171,0.45,0,0.41,0,0,0.05,0,0.75,0,0.33,0.62,0,0.09,1976,0.68,0,0,0
05033-020502-2,2478.4,0.96,0.52,0.53,330,0.46,0,0.32,0.03,0.86,0.19,0.39,0.78,0.34,0.16,0.62,0.03,0.15,1976,0.64,0.23,0.07,0
05033-020502-3,1116.7,0.32,0.52,1,92,0.68,0,0.13,0,0.64,0.09,0.43,0.87,0.36,0.37,0.8,0,0.05,1945,0.3,0,0,0
05033-020502-4,1843.2,0.6,0.53,0.72,59,0.42,0,0.39,0,0.61,0.17,0.45,0.5,0.35,0.16,0.4,0.04,0.03,1977,0.6,0.02,0.26,0.04
05033-020601-1,168.2,6.79,0.43,0,496,0.67,0,0.21,0.05,0.61,0.28,0.57,0.92,0.29,0.31,0.61,0.15,0.25,1985,0.81,0,0,0
05033-020601-2,114.7,8.61,0.51,0.09,388,0.44,0,0.25,0,0.64,0.28,0.61,0.88,0.35,0.45,0.73,0.1,0.25,2000,0.62,0.74,0.01,0
05033-020602-1,135.2,2.96,0.49,0,181,0.49,0,0.15,0,0.33,0.2,0.67,0.71,0.17,0.06,0.7,0.08,0.13,1988,0.2,0,0.11,0
05033-020602-2,285.2,3.1,0.56,0.21,230,0.62,0,0.27,0,0.86,0.2,0.42,0.89,0.5,0.37,0.86,0.04,0.05,1997,0.86,0.23,0.07,0
05033-020602-3,1105.5,1.75,0.44,0.76,428,0.72,0,0.26,0.02,0.65,0.15,0.42,0.78,0.54,0.21,0.79,0.05,0.08,2000,0.46,0.54,0.13,0
05033-020602-4,988.3,1.25,0.58,0.68,113,0.59,0,0.25,0.03,0.3,0.37,0.27,0.72,0.37,0.14,0.71,0.03,0.13,1987,0.56,0.26,0.09,0
05033-020602-5,98.7,9.34,0.54,0.95,173,0.39,0,0.4,0,0.78,0.42,0.11,0.86,0.25,0.31,0.43,0.02,0.07,2003,0.74,0.4,0.04,0
05033-020602-6,1376,1.04,0.51,0.72,103,0.35,0.28,0.23,0.12,0.87,0.18,0.39,0.8,0.47,0.21,0.7,0,0.03,1982,0.55,0.13,0.09,0
05035-030101-1,3262.3,0.34,0.54,0.85,118,0.39,0,0.29,0.2,0.83,0.04,0.26,0.78,0.41,0.2,0.72,0.18,0,1964,0.23,0.21,0.15,0
